ProviderName,Under 25 Mbps,Over 25 Mbps,Percent Under 25,Percent Over 25,Municipality
American Student Assistance,1.0,,,,Chelsea
Broadview Networks,1.0,,,,Chelsea
CELLCO,10.0,5.0,0.6666666666666666,0.3333333333333333,Chelsea
Comcast,1015.0,1061.0,0.4889210019267823,0.5110789980732178,Chelsea
DSCI,3.0,,,,Chelsea
"Deltacom, Inc.",1.0,,,,Chelsea
Lightower Fiber Networks,3.0,,,,Chelsea
Major League Baseball Advanced Media,1.0,9.0,0.1,0.9,Chelsea
Nitel,1.0,8.0,0.1111111111111111,0.8888888888888888,Chelsea
North Atlantic Networks,3.0,,,,Chelsea
OPAQ Networks,4.0,6.0,0.4,0.6,Chelsea
T-Mobile USA,230.0,29.0,0.888030888030888,0.11196911196911197,Chelsea
Verizon,70.0,22.0,0.7608695652173914,0.2391304347826087,Chelsea
186 Communications,,1.0,,,Chelsea
Comcast - New England,,6.0,,,Chelsea
TelePacific Communications,,2.0,,,Chelsea
