ProviderName,Under 25 Mbps,Over 25 Mbps,Percent Under 25,Percent Over 25,Municipality
CELLCO,44.0,7.0,0.8627450980392157,0.13725490196078433,Everett
Comcast,1602.0,2279.0,0.4127802112857511,0.587219788714249,Everett
Consolidated Communications - NNE,3.0,1.0,0.75,0.25,Everett
Lightower Fiber Networks,19.0,20.0,0.48717948717948717,0.5128205128205128,Everett
Lumen AS 3356,6.0,3.0,0.6666666666666666,0.3333333333333333,Everett
Lumen AS 3549,14.0,2.0,0.875,0.125,Everett
RCN,288.0,698.0,0.2920892494929006,0.7079107505070994,Everett
Sprint,17.0,2.0,0.8947368421052632,0.10526315789473684,Everett
T-Mobile USA,175.0,60.0,0.7446808510638298,0.2553191489361702,Everett
Verizon,67.0,5.0,0.9305555555555556,0.06944444444444445,Everett
Windstream Communications,4.0,,,,Everett
XO Communications,4.0,5.0,0.4444444444444444,0.5555555555555556,Everett
Tierpoint 33251,,1.0,,,Everett
