ProviderName,Chelsea Under 25 Mbps,Chelsea Over 25 Mbps,Percent Under 25,Percent Over 25
American Student Assistance,1.0,,,
Broadview Networks,1.0,,,
CELLCO,10.0,5.0,0.6666666666666666,0.3333333333333333
Comcast,1015.0,1061.0,0.4889210019267823,0.5110789980732178
DSCI,3.0,,,
"Deltacom, Inc.",1.0,,,
Lightower Fiber Networks,3.0,,,
Major League Baseball Advanced Media,1.0,9.0,0.1,0.9
Nitel,1.0,8.0,0.1111111111111111,0.8888888888888888
North Atlantic Networks,3.0,,,
OPAQ Networks,4.0,6.0,0.4,0.6
T-Mobile USA,230.0,29.0,0.888030888030888,0.11196911196911197
Verizon,70.0,22.0,0.7608695652173914,0.2391304347826087
186 Communications,,1.0,,
Comcast - New England,,6.0,,
TelePacific Communications,,2.0,,
