ProviderName,Everett Under 25 Mbps,Everett Over 25 Mbps,Percent Under 25,Percent Over 25
Broadview Networks,1.0,,,
CELLCO,359.0,67.0,0.8427230046948356,0.1572769953051643
Charter Communications,12.0,16.0,0.42857142857142855,0.5714285714285714
"Cogent Communications, Inc.",7.0,1.0,0.875,0.125
Comcast,1676.0,1393.0,0.5461062235255784,0.45389377647442164
Comcast - New England,25.0,13.0,0.6578947368421053,0.34210526315789475
Lightower Fiber Networks,20.0,29.0,0.40816326530612246,0.5918367346938775
Lumen AS 3356,4.0,4.0,0.5,0.5
RCN,116.0,216.0,0.3493975903614458,0.6506024096385542
Verizon,106.0,16.0,0.8688524590163934,0.13114754098360656
"Deltacom, Inc.",,5.0,,
Windstream Communications,,2.0,,
