ProviderName,Revere Under 3 Mbps,Revere Over 3 Mbps,Percent Under 3,Percent Over 3
"Bigleaf Networks, Inc.",1.0,11.0,0.08333333333333333,0.9166666666666666
Broadview Networks,1.0,2.0,0.3333333333333333,0.6666666666666666
CELLCO,27.0,29.0,0.48214285714285715,0.5178571428571429
"Cogent Communications, Inc.",3.0,6.0,0.3333333333333333,0.6666666666666666
Comcast,1115.0,4256.0,0.20759635077266803,0.792403649227332
DSCI,2.0,1.0,0.6666666666666666,0.3333333333333333
Lumen AS 3356,8.0,4.0,0.6666666666666666,0.3333333333333333
Lumen AS209,1.0,4.0,0.2,0.8
RCN,14.0,101.0,0.12173913043478261,0.8782608695652174
T-Mobile USA,847.0,976.0,0.4646187602852441,0.5353812397147559
TelePacific Communications,3.0,,,
Verizon,293.0,8.0,0.973421926910299,0.026578073089700997
Windstream Communications,3.0,2.0,0.6,0.4
XO Communications,16.0,55.0,0.22535211267605634,0.7746478873239436
AT&T US - 7018,,4.0,,
Lightower Fiber Networks,,12.0,,
Massachusetts Institute of Technology,,3.0,,
North Atlantic Networks,,2.0,,
USAI.NET,,1.0,,
